RTI,VTTI,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gamma,14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Battery cap (kWh),19 Markup factor,20 Rare metal price,21 Energy density
13 Finland (FI),9 Diesel Lux,59370.30078125,24677.0,0.07925977557897568,2.3499964299844578e-05,0.06400000303983688,0.03999999910593033,0.15000000596046448,14.0,2.730105400085449,18550.0,0.375,6.956250190734863,-0.20999999344348907,203.17942810058594,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),10 Adv Diesel Econ,27076.611328125,6786.10009765625,0.045504435896873474,8.999999749903509e-07,0.03799999877810478,0.0,0.15000000596046448,14.0,2.0865867137908936,18550.0,0.375,6.956250190734863,0.0,81.1750717163086,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),11 Adv Diesel Mid,35570.9140625,7399.10009765625,0.05147222802042961,8.298665306938346e-06,0.050999999046325684,0.0,0.15000000596046448,14.0,2.4343512058258057,18550.0,0.375,6.956250190734863,0.0,106.68104553222656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),12 Adv Diesel Lux,57252.6875,24677.0,0.06340781599283218,2.1149968233658e-05,0.06400000303983688,0.0,0.15000000596046448,14.0,2.45709490776062,18550.0,0.375,6.956250190734863,0.0,182.86148071289062,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),13 CNG Econ,20000.0,1000.0,0.01711205393075943,0.0,0.039000000804662704,0.019999999552965164,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),14 CNG Mid,30000.0,1000.0,0.01935625821352005,0.0,0.0560000017285347,0.029999999329447746,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.07000000029802322,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),15 CNG Lux,40000.0,1000.0,0.02384466491639614,0.0,0.06599999964237213,0.03999999910593033,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),16 Hybrid Econ,17307.3046875,2169.89990234375,0.08100000023841858,3.4964887163368985e-05,0.039000000804662704,0.029999999329447746,0.15000000596046448,14.0,1.3168253898620605,18550.0,0.375,6.956250190734863,0.0,89.32850646972656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),17 Hybrid Mid,30278.0,3253.300048828125,0.0860000029206276,0.00013035617303103209,0.0560000017285347,0.03999999910593033,0.15000000596046448,14.0,1.3983631134033203,18550.0,0.375,6.956250190734863,0.09000000357627869,94.8597183227539,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),18 Hybrid Lux,37590.0,5812.34228515625,0.1080000028014183,0.00011230769450776279,0.06599999964237213,0.03999999910593033,0.15000000596046448,14.0,2.618288278579712,18550.0,0.375,6.956250190734863,-0.25999999046325684,177.61488342285156,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),19 Electric Econ,25453.046875,5654.2998046875,0.04388999938964844,0.004780000075697899,0.013299999758601189,0.03999999910593033,0.15000000596046448,12.0,0.6299999952316284,12104.0,0.375,4.539000034332275,-0.1899999976158142,38.70180130004883,4.0,-0.23000000417232513,0.25,18.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),20 Electric Mid,43734.0234375,8516.0185546875,0.04702499881386757,0.0022446000948548317,0.01785000041127205,0.05000000074505806,0.15000000596046448,12.0,0.6700000166893005,12104.0,0.375,4.539000034332275,-0.3499999940395355,54.18239974975586,4.0,-0.23000000417232513,0.25,50.20000076293945,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),21 Electric Lux,65473.27734375,22389.552734375,0.06270000338554382,0.012000000104308128,0.02239999920129776,0.05999999865889549,0.15000000596046448,12.0,0.8600000143051147,12104.0,0.375,4.539000034332275,-0.12999999523162842,67.08300018310547,4.0,-0.23000000417232513,0.25,81.0,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),22 PHEV Econ,36620.0,1000.0,0.06694500148296356,0.00032666666083969176,0.02565000019967556,0.03999999910593033,0.15000000596046448,12.0,0.29482758045196533,18550.0,0.375,6.956250190734863,-0.1899999976158142,20.0,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),23 PHEV Mid,47920.0,6480.60009765625,0.07234963774681091,0.0004216666566208005,0.034425001591444016,0.05000000074505806,0.15000000596046448,12.0,0.442241370677948,18550.0,0.375,6.956250190734863,-0.3100000023841858,30.0,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),24 PHEV Lux,74410.453125,33781.0,0.09934999793767929,0.0005166666815057397,0.04320000112056732,0.05999999865889549,0.15000000596046448,12.0,1.091858148574829,18550.0,0.375,6.956250190734863,-0.44999998807907104,74.06756591796875,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
13 Finland (FI),25 Hydrogen Econ,10000.0,1000.0,0.0,0.000611666648183018,0.04600000008940697,0.03999999910593033,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),26 Hydrogen Mid,20000.0,1000.0,0.0,0.0007066666730679572,0.06499999761581421,0.05000000074505806,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),27 Hydrogen Lux,59021.01953125,1596.199951171875,0.0,0.0008016666397452354,0.07999999821186066,0.05999999865889549,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),28 Bikes Econ,1504.0,404.0,0.051139310002326965,2.3799999326001853e-05,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.4104552268981934,4000.0,0.550000011920929,2.200000047683716,0.0,47.506534576416016,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),29 Bikes Lux,5974.0,5360.0,0.063924141228199,3.740000101970509e-05,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.7630689144134521,4000.0,0.550000011920929,2.200000047683716,0.0,55.46217727661133,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),30 Bikes Adv Econ,1504.0,404.0,0.04091144725680351,0.0,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.128364086151123,4000.0,0.550000011920929,2.200000047683716,0.0,0.0,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
13 Finland (FI),31 Bikes Adv Lux,5974.0,5360.0,0.051139310002326965,0.0,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.4104552268981934,4000.0,0.550000011920929,2.200000047683716,0.0,0.0,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),1 Petrol Econ,22620.162109375,6888.2001953125,0.09000000357627869,0.00012247222184669226,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,1.559999942779541,18550.0,0.375,6.956250190734863,0.6700000166893005,108.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),2 Petrol Mid,36144.0,7383.7001953125,0.09767428040504456,0.00011308537796139717,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,1.7400000095367432,18550.0,0.375,6.956250190734863,0.20000000298023224,120.30000305175781,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),3 Petrol Lux,53973.0,23695.0,0.13600000739097595,0.000196288398001343,0.06400000303983688,0.029999999329447746,0.15000000596046448,14.0,2.359999895095825,18550.0,0.375,6.956250190734863,-0.07999999821186066,164.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),4 Adv Petrol Econ,24615.1015625,6888.2001953125,0.07199999690055847,0.00011022499529644847,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,1.2480000257492065,18550.0,0.375,6.956250190734863,0.0,86.4000015258789,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),5 Adv Petrol Mid,32337.193359375,7383.7001953125,0.07813942432403564,0.00010177683725487441,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,1.3919999599456787,18550.0,0.375,6.956250190734863,0.0,96.23999786376953,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),6 Adv Petrol Lux,52047.8984375,23695.0,0.1088000014424324,0.00017665955238044262,0.06400000303983688,0.029999999329447746,0.15000000596046448,14.0,1.8880000114440918,18550.0,0.375,6.956250190734863,0.0,131.1999969482422,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),7 Diesel Econ,27076.611328125,6786.10009765625,0.05688054487109184,9.999999974752427e-07,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,2.318429708480835,18550.0,0.375,6.956250190734863,0.550000011920929,90.19451904296875,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),8 Diesel Mid,39600.0,7399.10009765625,0.06434028595685959,9.220739229931496e-06,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,2.704834461212158,18550.0,0.375,6.956250190734863,0.3199999928474426,118.53449249267578,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),9 Diesel Lux,59370.30078125,24677.0,0.07925977557897568,2.3499964299844578e-05,0.06400000303983688,0.03999999910593033,0.15000000596046448,14.0,2.730105400085449,18550.0,0.375,6.956250190734863,-0.15000000596046448,203.17942810058594,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),10 Adv Diesel Econ,27076.611328125,6786.10009765625,0.045504435896873474,8.999999749903509e-07,0.03799999877810478,0.0,0.15000000596046448,14.0,2.0865867137908936,18550.0,0.375,6.956250190734863,0.0,81.1750717163086,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),11 Adv Diesel Mid,35570.9140625,7399.10009765625,0.05147222802042961,8.298665306938346e-06,0.050999999046325684,0.0,0.15000000596046448,14.0,2.4343512058258057,18550.0,0.375,6.956250190734863,0.0,106.68104553222656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),12 Adv Diesel Lux,57252.6875,24677.0,0.06340781599283218,2.1149968233658e-05,0.06400000303983688,0.0,0.15000000596046448,14.0,2.45709490776062,18550.0,0.375,6.956250190734863,0.0,182.86148071289062,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),13 CNG Econ,20000.0,1000.0,0.01711205393075943,0.0,0.039000000804662704,0.019999999552965164,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.05000000074505806,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),14 CNG Mid,30000.0,1000.0,0.01935625821352005,0.0,0.0560000017285347,0.029999999329447746,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.07000000029802322,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),15 CNG Lux,40000.0,1000.0,0.02384466491639614,0.0,0.06599999964237213,0.03999999910593033,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),16 Hybrid Econ,17307.3046875,2169.89990234375,0.08100000023841858,3.4964887163368985e-05,0.039000000804662704,0.029999999329447746,0.15000000596046448,14.0,1.3168253898620605,18550.0,0.375,6.956250190734863,0.0,89.32850646972656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),17 Hybrid Mid,30278.0,3253.300048828125,0.0860000029206276,0.00013035617303103209,0.0560000017285347,0.03999999910593033,0.15000000596046448,14.0,1.3983631134033203,18550.0,0.375,6.956250190734863,-0.1899999976158142,94.8597183227539,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),18 Hybrid Lux,37590.0,5812.34228515625,0.1080000028014183,0.00011230769450776279,0.06599999964237213,0.03999999910593033,0.15000000596046448,14.0,2.618288278579712,18550.0,0.375,6.956250190734863,-0.25,177.61488342285156,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),19 Electric Econ,25453.046875,5654.2998046875,0.04388999938964844,0.004780000075697899,0.013299999758601189,0.03999999910593033,0.15000000596046448,12.0,0.6299999952316284,12104.0,0.375,4.539000034332275,-0.20000000298023224,38.70180130004883,4.0,-0.23000000417232513,0.25,18.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),20 Electric Mid,43734.0234375,8516.0185546875,0.04702499881386757,0.0022446000948548317,0.01785000041127205,0.05000000074505806,0.15000000596046448,12.0,0.6700000166893005,12104.0,0.375,4.539000034332275,-0.4399999976158142,54.18239974975586,4.0,-0.23000000417232513,0.25,50.20000076293945,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),21 Electric Lux,65473.27734375,22389.552734375,0.06270000338554382,0.012000000104308128,0.02239999920129776,0.05999999865889549,0.15000000596046448,12.0,0.8600000143051147,12104.0,0.375,4.539000034332275,-0.09000000357627869,67.08300018310547,4.0,-0.23000000417232513,0.25,81.0,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),22 PHEV Econ,36620.0,1000.0,0.06694500148296356,0.00032666666083969176,0.02565000019967556,0.03999999910593033,0.15000000596046448,12.0,0.29482758045196533,18550.0,0.375,6.956250190734863,-0.2199999988079071,20.0,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),23 PHEV Mid,47920.0,6480.60009765625,0.07234963774681091,0.0004216666566208005,0.034425001591444016,0.05000000074505806,0.15000000596046448,12.0,0.442241370677948,18550.0,0.375,6.956250190734863,-0.3199999928474426,30.0,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),24 PHEV Lux,74410.453125,33781.0,0.09934999793767929,0.0005166666815057397,0.04320000112056732,0.05999999865889549,0.15000000596046448,12.0,1.091858148574829,18550.0,0.375,6.956250190734863,-0.4399999976158142,74.06756591796875,4.0,-0.23000000417232513,0.25,11.5,1.0499999523162842,1.0004500150680542,0.9959999918937683
14 Sweden (SW),25 Hydrogen Econ,10000.0,1000.0,0.0,0.000611666648183018,0.04600000008940697,0.03999999910593033,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),26 Hydrogen Mid,20000.0,1000.0,0.0,0.0007066666730679572,0.06499999761581421,0.05000000074505806,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),27 Hydrogen Lux,59021.01953125,1596.199951171875,0.0,0.0008016666397452354,0.07999999821186066,0.05999999865889549,0.15000000596046448,12.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.23000000417232513,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),28 Bikes Econ,1504.0,404.0,0.051139310002326965,2.3799999326001853e-05,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.4104552268981934,4000.0,0.550000011920929,2.200000047683716,0.0,47.506534576416016,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),29 Bikes Lux,5974.0,5360.0,0.063924141228199,3.740000101970509e-05,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.7630689144134521,4000.0,0.550000011920929,2.200000047683716,0.0,55.46217727661133,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),30 Bikes Adv Econ,1504.0,404.0,0.04091144725680351,0.0,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.128364086151123,4000.0,0.550000011920929,2.200000047683716,0.0,0.0,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
14 Sweden (SW),31 Bikes Adv Lux,5974.0,5360.0,0.051139310002326965,0.0,0.029999999329447746,0.029999999329447746,0.15000000596046448,7.0,1.4104552268981934,4000.0,0.550000011920929,2.200000047683716,0.0,0.0,2.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),1 Petrol Econ,22620.162109375,6888.2001953125,0.09000000357627869,0.00012247222184669226,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,1.559999942779541,18550.0,0.375,6.956250190734863,0.44999998807907104,108.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),2 Petrol Mid,36144.0,7383.7001953125,0.09767428040504456,0.00011308537796139717,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,1.7400000095367432,18550.0,0.375,6.956250190734863,0.05000000074505806,120.30000305175781,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),3 Petrol Lux,53973.0,23695.0,0.13600000739097595,0.000196288398001343,0.06400000303983688,0.029999999329447746,0.15000000596046448,14.0,2.359999895095825,18550.0,0.375,6.956250190734863,-0.25,164.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),4 Adv Petrol Econ,24615.1015625,6888.2001953125,0.07199999690055847,0.00011022499529644847,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,1.2480000257492065,18550.0,0.375,6.956250190734863,0.0,86.4000015258789,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),5 Adv Petrol Mid,32337.193359375,7383.7001953125,0.07813942432403564,0.00010177683725487441,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,1.3919999599456787,18550.0,0.375,6.956250190734863,0.0,96.23999786376953,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),6 Adv Petrol Lux,52047.8984375,23695.0,0.1088000014424324,0.00017665955238044262,0.06400000303983688,0.029999999329447746,0.15000000596046448,14.0,1.8880000114440918,18550.0,0.375,6.956250190734863,0.0,131.1999969482422,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),7 Diesel Econ,27076.611328125,6786.10009765625,0.05688054487109184,9.999999974752427e-07,0.03799999877810478,0.019999999552965164,0.15000000596046448,14.0,2.318429708480835,18550.0,0.375,6.956250190734863,0.4300000071525574,90.19451904296875,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),8 Diesel Mid,39600.0,7399.10009765625,0.06434028595685959,9.220739229931496e-06,0.050999999046325684,0.029999999329447746,0.15000000596046448,14.0,2.704834461212158,18550.0,0.375,6.956250190734863,0.009999999776482582,118.53449249267578,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),9 Diesel Lux,59370.30078125,24677.0,0.07925977557897568,2.3499964299844578e-05,0.06400000303983688,0.03999999910593033,0.15000000596046448,14.0,2.730105400085449,18550.0,0.375,6.956250190734863,-0.3100000023841858,203.17942810058594,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),10 Adv Diesel Econ,27076.611328125,6786.10009765625,0.045504435896873474,8.999999749903509e-07,0.03799999877810478,0.0,0.15000000596046448,14.0,2.0865867137908936,18550.0,0.375,6.956250190734863,0.0,81.1750717163086,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),11 Adv Diesel Mid,35570.9140625,7399.10009765625,0.05147222802042961,8.298665306938346e-06,0.050999999046325684,0.0,0.15000000596046448,14.0,2.4343512058258057,18550.0,0.375,6.956250190734863,0.0,106.68104553222656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),12 Adv Diesel Lux,57252.6875,24677.0,0.06340781599283218,2.1149968233658e-05,0.06400000303983688,0.0,0.15000000596046448,14.0,2.45709490776062,18550.0,0.375,6.956250190734863,0.0,182.86148071289062,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),13 CNG Econ,20000.0,1000.0,0.01711205393075943,0.0,0.039000000804662704,0.019999999552965164,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),14 CNG Mid,30000.0,1000.0,0.01935625821352005,0.0,0.0560000017285347,0.029999999329447746,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.029999999329447746,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),15 CNG Lux,40000.0,1000.0,0.02384466491639614,0.0,0.06599999964237213,0.03999999910593033,0.15000000596046448,14.0,0.0,18550.0,0.375,6.956250190734863,0.0,0.0,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),16 Hybrid Econ,17307.3046875,2169.89990234375,0.08100000023841858,3.4964887163368985e-05,0.039000000804662704,0.029999999329447746,0.15000000596046448,14.0,1.3168253898620605,18550.0,0.375,6.956250190734863,0.11999999731779099,89.32850646972656,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
15 UK (UK),17 Hybrid Mid,30278.0,3253.300048828125,0.0860000029206276,0.00013035617303103209,0.0560000017285347,0.03999999910593033,0.15000000596046448,14.0,1.3983631134033203,18550.0,0.375,6.956250190734863,-0.14000000059604645,94.8597183227539,4.0,-0.014499569311738014,0.25,0.0,0.0,0.0,0.0
